"dis1","dis2","Count"
"贲门胃底恶性肿瘤","慢性胃炎",1
"贲门胃底恶性肿瘤","脑梗死",2
"贲门胃底恶性肿瘤","气胸",1
"贲门胃底恶性肿瘤","轻度贫血",1
"贲门胃底恶性肿瘤","食管白斑",1
"贲门胃底恶性肿瘤","食管炎",1
"贲门胃底恶性肿瘤","胃息肉",2
"贲门胃底恶性肿瘤","消化道出血",1
"贲门胃底恶性肿瘤","胸腔积液",1
"贲门胃底恶性肿瘤","硬脑膜下积液",1
"贲门胃底恶性肿瘤","支气管扩张",1
"贲门胃底恶性肿瘤","脂肪肝",1
"贲门胃底恶性肿瘤","纵隔淋巴结继发恶性肿瘤",1
"贲门胃体恶性肿瘤","2型糖尿病",1
"贲门胃体恶性肿瘤","肺钙化",1
"贲门胃体恶性肿瘤","分泌粘液性癌",1
"贲门胃体恶性肿瘤","高血压病",1
"贲门胃体恶性肿瘤","冠状动脉粥样硬化",1
"贲门胃体恶性肿瘤","特指部位继发性恶性肿瘤",1
"贲门胃体恶性肿瘤","心动过缓",1
"贲门肿瘤","2型糖尿病",2
"贲门肿瘤","肠梗阻",1
"贲门肿瘤","胆囊结石",1
"贲门肿瘤","低蛋白血症",2
"贲门肿瘤","肺继发恶性肿瘤",1
"贲门肿瘤","肺气肿",1
"贲门肿瘤","肝静脉梗阻症",1
"贲门肿瘤","肝囊肿",1
"贲门肿瘤","肝占位性病变",1
"贲门肿瘤","高血压Ⅲ期",1
"贲门肿瘤","高血压病",4
"贲门肿瘤","高脂血症",1
"贲门肿瘤","冠状动脉粥样硬化性心脏病",1
"贲门肿瘤","呼吸衰竭",1
"贲门肿瘤","黄疸",1
"贲门肿瘤","结肠息肉",1
"贲门肿瘤","慢性浅表性胃炎",1
"贲门肿瘤","慢性萎缩性胃炎",1
"贲门肿瘤","慢性胃窦炎",1
"贲门肿瘤","十二指肠息肉",1
"贲门肿瘤","食管白斑",4
"贲门肿瘤","食管良性肿瘤",1
"贲门肿瘤","胃溃疡",1
"贲门肿瘤","胃息肉",3
"贲门肿瘤","下肢静脉炎",1
"贲门肿瘤","疣状胃炎",1
"贲门肿瘤","脂肪肝",1
"鼻恶性肿瘤","鼻炎",1
"鼻恶性肿瘤","高血压Ⅲ期",1
"鼻旁窦肿瘤","高血压病",1
"鼻旁窦肿瘤","高脂血症",1
"鼻旁窦肿瘤","脑梗死",1
"鼻前庭良性肿瘤","慢性鼻窦炎",1
"鼻前庭良性肿瘤","慢性鼻炎",2
"鼻腔恶性肿瘤","2型糖尿病",2
"鼻腔良性肿瘤","2型糖尿病",1
"鼻腔良性肿瘤","鼻中隔偏曲",1
"鼻腔良性肿瘤","高脂血症",1
"鼻腔良性肿瘤","急性分泌性中耳炎",1
"鼻腔良性肿瘤","慢性鼻窦炎",1
"鼻腔良性肿瘤","眼睑裂伤",1
"鼻腔肿瘤","鼻出血",1
"鼻咽顶恶性肿瘤","类风湿性关节炎",1
"鼻咽恶性肿瘤","甲状腺机能减退症",1
"鼻咽恶性肿瘤","颈部淋巴结继发恶性肿瘤",2
"鼻咽恶性肿瘤","头、面和颈淋巴结继发性和未特指恶性肿瘤",1
"鼻中隔良性肿瘤","鼻腔息肉",1
"鼻中隔良性肿瘤","鼻中隔弯曲",1
"鼻中隔良性肿瘤","变应性鼻炎，未特指",1
"扁桃体恶性淋巴瘤","腹股沟淋巴结继发恶性肿瘤",1
"扁桃体恶性淋巴瘤","冠状动脉粥样硬化性心脏病",1
"扁桃体恶性淋巴瘤","颈部淋巴结继发恶性肿瘤",1
"扁桃体恶性淋巴瘤","胸腔积液",1
"扁桃体良性肿瘤","慢性鼻窦炎",1
"残胃恶性肿瘤","贲门恶性肿瘤",2
"残胃恶性肿瘤","胆囊结石，不伴有胆囊炎",1
"残胃恶性肿瘤","低蛋白血症",1
"残胃恶性肿瘤","肺占位性病变",1
"残胃恶性肿瘤","腹腔淋巴结继发恶性肿瘤",1
"残胃恶性肿瘤","肝继发恶性肿瘤",2
"残胃恶性肿瘤","高脂血症",1
"残胃恶性肿瘤","急性上消化道出血",1
"残胃恶性肿瘤","酒精性脂肪肝",1
"残胃恶性肿瘤","贫血",1
"残胃恶性肿瘤","上消化道出血",1
"残胃恶性肿瘤","失血性休克",1
"残胃恶性肿瘤","食管炎",1
"残胃恶性肿瘤","胃恶性肿瘤",1
"齿龈良性肿瘤","高血压Ⅱ期",1
"垂体良性肿瘤","动脉硬化性脑病",1
"垂体良性肿瘤","高血压Ⅲ期",1
"垂体良性肿瘤","高血压病",1
"垂体良性肿瘤","高脂血症",1
"垂体良性肿瘤","慢性胃炎",1
"垂体良性肿瘤","脑萎缩",1
"垂体良性肿瘤","十二指肠球炎",1
"垂体良性肿瘤","食管良性肿瘤",1
"垂体良性肿瘤","突发性耳聋",1
"垂体肿瘤","贲门糜烂",1
"垂体肿瘤","垂体功能减退症",1
"垂体肿瘤","高脂血症",1
"垂体肿瘤","甲状腺功能异常",1
"垂体肿瘤","颈动脉硬化",1
"垂体肿瘤","腰椎间盘突出",1
"唇良性肿瘤","高血压I期",1
"大脑镰旁脑膜瘤","慢性多鼻窦炎",1
"大脑镰旁脑膜瘤","脑膜瘤",1
"大脑镰旁脑膜瘤","上颌窦筛窦炎",1
"胆道恶性肿瘤","低蛋白血症",1
"胆道恶性肿瘤","低氯血症",1
"胆道恶性肿瘤","多器官功能障碍综合征(MODS)",1
"胆管癌","2型糖尿病",1
"胆管癌","单纯性肾囊肿",2
"胆管癌","胆囊结石伴慢性胆囊炎",1
"胆管癌","胆囊炎",1
"胆管癌","低钾血症",1
"胆管癌","肺继发恶性肿瘤",1
"胆管癌","高脂血症",1
"胆管癌","梗阻性黄疸",3
"胆管癌","脊柱侧弯",1
"胆管癌","贫血",1
"胆管癌","腰椎恶性肿瘤",1
"胆管癌","脂肪肝",1
"胆管恶性肿瘤","2型糖尿病",2
"胆管恶性肿瘤","不完全性肠梗阻",1
"胆管恶性肿瘤","胆道感染",1
"胆管恶性肿瘤","胆管出血",1
"胆管恶性肿瘤","胆管炎",1
"胆管恶性肿瘤","胆囊结石伴慢性胆囊炎",2
"胆管恶性肿瘤","胆囊炎，未特指",1
"胆管恶性肿瘤","胆囊原位癌",1
"胆管恶性肿瘤","低蛋白血症",1
"胆管恶性肿瘤","电解质代谢紊乱",1
"胆管恶性肿瘤","恶性腹水",1
"胆管恶性肿瘤","肺继发恶性肿瘤",1
"胆管恶性肿瘤","腹膜继发恶性肿瘤",1
"胆管恶性肿瘤","腹腔淋巴结继发恶性肿瘤",2
"胆管恶性肿瘤","肝继发恶性肿瘤",4
"胆管恶性肿瘤","肝脓肿",1
"胆管恶性肿瘤","梗阻性黄疸",1
"胆管恶性肿瘤","梗阻性黄疸(胆囊)",2
"胆管恶性肿瘤","化脓性胆管炎",1
"胆管恶性肿瘤","黄疸",2
"胆管恶性肿瘤","急性胆管炎",2
"胆管恶性肿瘤","急性化脓性胆管炎",1
"胆管恶性肿瘤","慢性胆囊炎",1
"胆管恶性肿瘤","食管白斑",1
"胆管恶性肿瘤","食管恶性肿瘤",1
"胆管恶性肿瘤","胃息肉",1
"胆管恶性肿瘤","胰腺继发恶性肿瘤",2
"胆管恶性肿瘤","幽门不全梗阻",1
"胆囊恶性肿瘤","2型糖尿病",2
"胆囊恶性肿瘤","肠梗阻",1
"胆囊恶性肿瘤","单纯性肾囊肿",1
"胆囊恶性肿瘤","胆管恶性肿瘤",1
"胆囊恶性肿瘤","胆囊穿孔",1
"胆囊恶性肿瘤","胆囊梗阻",1
"胆囊恶性肿瘤","胆囊结石",1
"胆囊恶性肿瘤","胆囊结石伴慢性胆囊炎",3
"胆囊恶性肿瘤","胆总管恶性肿瘤",1
"胆囊恶性肿瘤","低钾血症",1
"胆囊恶性肿瘤","低钠血症",2
"胆囊恶性肿瘤","肺继发恶性肿瘤",3
"胆囊恶性肿瘤","腹腔淋巴结继发恶性肿瘤",2
"胆囊恶性肿瘤","腹腔淋巴结肿大",1
"胆囊恶性肿瘤","腹水",2
"胆囊恶性肿瘤","肝继发恶性肿瘤",3
"胆囊恶性肿瘤","肝继发性恶性肿瘤",1
"胆囊恶性肿瘤","肝占位性病变",1
"胆囊恶性肿瘤","高血压",1
"胆囊恶性肿瘤","高血压I期",2
"胆囊恶性肿瘤","高血压病",2
"胆囊恶性肿瘤","梗阻性黄疸",2
"胆囊恶性肿瘤","骨继发恶性肿瘤",1
"胆囊恶性肿瘤","黄疸",2
"胆囊恶性肿瘤","急性扁桃体炎",1
"胆囊恶性肿瘤","结肠溃疡",1
"胆囊恶性肿瘤","结核性腹腔积液",1
"胆囊恶性肿瘤","慢性胃窦炎",1
"胆囊恶性肿瘤","脑梗死",1
"胆囊恶性肿瘤","肾继发恶性肿瘤",1
"胆囊恶性肿瘤","食管白斑",1
"胆囊恶性肿瘤","食管恶性肿瘤",1
"胆囊恶性肿瘤","细菌性肠道感染",1
"胆囊恶性肿瘤","胰腺恶性肿瘤",1
"胆囊恶性肿瘤","幽门不全梗阻",1
"胆囊恶性肿瘤","真菌性食管炎",1
"胆囊恶性肿瘤","脂肪肝",1
"胆囊管恶性肿瘤","梗阻性黄疸",1
"胆囊继发恶性肿瘤","肝硬化失代偿期",1
"胆囊继发恶性肿瘤","慢性乙型病毒性肝炎",1
"胆囊继发恶性肿瘤","脾大",1
"胆囊原位癌","食管白斑",1
"胆囊原位癌","胃息肉",1
"胆总管恶性肿瘤","胆囊结石",1
"胆总管恶性肿瘤","低钾血症",1
"胆总管恶性肿瘤","低钠血症",1
"胆总管恶性肿瘤","电解质代谢紊乱",1
"胆总管恶性肿瘤","肝硬化",1
"胆总管恶性肿瘤","梗阻性黄疸",3
"胆总管恶性肿瘤","类风湿性关节炎",1
"骶骨恶性肿瘤","泌尿道感染",1
"骶骨恶性肿瘤","糖尿病",1
"骶骨淋巴结继发恶性肿瘤","带状疱疹",1
"骶骨肿瘤","慢性阻塞性肺病",1
"骶骨肿瘤","脑梗死",1
"骶骨肿瘤","先天性心脏病",1
"骶尾区良性肿瘤","高血压",1
"第四脑室良性肿瘤","脑积水",1
"第四脑室良性肿瘤","脑缺血灶",1
"顶叶脑膜瘤","高血压病",1
"动静脉血管瘤","贫血",1
"多发性骨髓瘤","2型糖尿病",4
"多发性骨髓瘤","陈旧性腰椎骨折",1
"多发性骨髓瘤","单纯性肾囊肿",1
"多发性骨髓瘤","胆囊结石",1
"多发性骨髓瘤","低蛋白血症",6
"多发性骨髓瘤","低钙血症",1
"多发性骨髓瘤","低钾血症",1
"多发性骨髓瘤","低钠血症",2
"多发性骨髓瘤","电解质代谢紊乱",1
"多发性骨髓瘤","电解质紊乱",2
"多发性骨髓瘤","肺部感染",1
"多发性骨髓瘤","肺纤维化",1
"多发性骨髓瘤","肝囊肿",1
"多发性骨髓瘤","肝硬化",1
"多发性骨髓瘤","高钾血症",1
"多发性骨髓瘤","高尿酸血症",2
"多发性骨髓瘤","高血压Ⅱ期",1
"多发性骨髓瘤","高血压Ⅲ期",2
"多发性骨髓瘤","高血压I期",2
"多发性骨髓瘤","高脂血症",3
"多发性骨髓瘤","骨髓瘤病",4
"多发性骨髓瘤","骨髓瘤肾病",2
"多发性骨髓瘤","冠心病",1
"多发性骨髓瘤","呼吸衰竭",1
"多发性骨髓瘤","急性粒细胞缺乏症",1
"多发性骨髓瘤","急性上呼吸道感染",1
"多发性骨髓瘤","急性咽炎",1
"多发性骨髓瘤","继发性贫血",3
"多发性骨髓瘤","甲状腺原位癌",1
"多发性骨髓瘤","粒细胞缺乏",1
"多发性骨髓瘤","慢性肾功能不全",1
"多发性骨髓瘤","慢性肾衰竭",1
"多发性骨髓瘤","慢性乙型病毒性肝炎",1
"多发性骨髓瘤","慢性支气管炎",1
"多发性骨髓瘤","慢性支气管炎伴肺气肿",1
"多发性骨髓瘤","慢性阻塞性肺病",1
"多发性骨髓瘤","泌尿道感染",1
"多发性骨髓瘤","神经炎",1
"多发性骨髓瘤","肾病",1
"多发性骨髓瘤","肾性高血压",1
"多发性骨髓瘤","肾性贫血",2
"多发性骨髓瘤","糖尿病",1
"多发性骨髓瘤","心功能不全",1
"多发性骨髓瘤","阵发性心房纤颤",1
"多发性骨髓瘤","支气管炎",2
"多发性骨髓瘤","脂肪肝",2
"多发性骨髓瘤","重度贫血",1
"多发性骨髓瘤","坠积性肺炎",1
"多个部位淋巴结继发性恶性肿瘤","恶性胸腔积液",1
"多个部位淋巴结继发性恶性肿瘤","肺部感染",1
"多个部位淋巴结继发性恶性肿瘤","淋巴管炎",1
"多个部位淋巴结继发性恶性肿瘤","弥漫性肺间质纤维化",1
"多个部位淋巴结继发性恶性肿瘤","胸膜继发恶性肿瘤",1
"多个部位淋巴结继发性恶性肿瘤","周围性面神经麻痹",1
"多形细胞性脂肪肉瘤","肺继发恶性肿瘤",2
"多形细胞性脂肪肉瘤","高血压I",1
"多形细胞性脂肪肉瘤","冠心病",1
"额叶脑膜瘤","高血压Ⅲ期",1
"额叶脑膜瘤","慢性细支气管炎",1
"额叶脑膜瘤","脑梗死",1
"恶性腹水","2型糖尿病",1
"恶性腹水","低蛋白血症",6
"恶性腹水","低钾血症",1
"恶性腹水","低钠血症",2
"恶性腹水","恶病质",1
"恶性腹水","恶性贫血",1
"恶性腹水","肝继发恶性肿瘤",1
"恶性腹水","混合性贫血",1
"恶性腹水","甲状腺机能亢进症",1
"恶性腹水","盆腔积液，女性",1
"恶性腹水","失血性休克",1
"恶性腹水","食管恶性肿瘤",1
"恶性腹水","心脏骤停",1
"恶性腹水","胸腔积液",1
"恶性腹水","液气胸",1
"恶性腹水","支气管哮喘，非危重",1
"恶性胸腔积液","2型糖尿病",4
"恶性胸腔积液","大隐静脉曲张",1
"恶性胸腔积液","低蛋白血症",3
"恶性胸腔积液","电解质代谢紊乱",1
"恶性胸腔积液","恶性腹水",1
"恶性胸腔积液","恶性贫血",1
"恶性胸腔积液","肺部感染",1
"恶性胸腔积液","肺恶性肿瘤",1
"恶性胸腔积液","肺继发恶性肿瘤",1
"恶性胸腔积液","肺炎",1
"恶性胸腔积液","肺占位性病变",2
"恶性胸腔积液","肝囊肿",1
"恶性胸腔积液","高同型半胱氨酸血症",1
"恶性胸腔积液","高血压Ⅱ期",1
"恶性胸腔积液","高血压Ⅲ期",1
"恶性胸腔积液","高血压病",5
"恶性胸腔积液","骨继发恶性肿瘤",1
"恶性胸腔积液","冠状动脉粥样硬化",1
"恶性胸腔积液","冠状动脉粥样硬化性心脏病",2
"恶性胸腔积液","呼吸衰竭",4
"恶性胸腔积液","混合性贫血",1
