ARCIMRowid,ARCIMCode,ARCIMDesc
10219||1,CL00091,外固定架28000
1021||1,XY00766,还原型谷胱甘肽粉针(大)[1.2g]111111
10220||1,3315#391,外固定架(中号)
10221||1,CL01229,外固定架6800
10222||1,CL01587,外固定架12400
10223||1,CL01694,外固定架2000
10224||1,CL02027,外固定架9200
10225||1,CL02157,外固定架4800
10226||1,CL02164,外固定架4320
10227||1,CL02165,外固定架3420
10228||1,CL02166,外固定架7200
10229||1,CL02169,外固定架2300
1022||1,XY00898,卡马西平片[0.1g*100片]1111
10230||1,CL02410,外固定架5800
10231||1,CL02433,外固定架2200
10232||1,CL02508,外固定架1680
10233||1,CL02780,外固定架8600
10234||1,CL02938,外固定架4500
10235||1,CL02948,外固定架3500
10236||1,CL02981,外固定架11800
10237||1,CL03053,外固定架12800
10238||1,CL03006,温度穿感器360
10239||1,33#75,吻合器(EC60A)
1023||1,XY01385,赛赓定片[2mg*100片]
10240||1,CL02130,吻合器(缝合器组件)70
10241||1,33#22,吻合器4882.5
10242||1,CL02581,吻合器(美国)
10243||1,CL03204,吻合器(CS40G)13500
10244||1,CL01585,心脏固定器12000
10245||1,CL00641,修补材料(颅骨固定钛金系统)7600
10246||1,CL01007,修补材料(颅骨固定钛金系统)1480
10247||1,330201009#4,修补材料(颅骨固定器)(75-1030)
10248||1,CL00642,修补材料(钛钉)240
10249||1,330201009#15,修补材料(钛钉)297
1024||1,XY01497,(高危C)他莫昔芬[10mg*60片]
10250||1,CL00503,修补材料(钛网)10475
10251||1,330201009#16,修补材料(钛网)14250
10252||1,330201009#7,修补材料(钛网)10800
10253||1,330201009#8,修补材料(钛板)16180
10254||1,330801#1,修补材料(心脏补片)1500
10255||1,CL00215,悬吊器6400
10256||1,311000010#080593,血液灌流器(HA130)680
10257||1,311000010#1,血液灌流器(HA230)
10258||1,CL01723,血液灌流器1860
10259||1,CL01724,血液灌流器2360
1025||1,XY00023,去甲万古霉素粉针(万迅)[0.4g]
10260||1,CL00153,压力延长管100
10261||1,32#1,压力延长管(61cm)88
10262||1,CL00587,压力延长管105
10263||1,32#3,压力延长管78
10264||1,CL00391,眼科重水671
10265||1,CL00399,羊膜588
10266||1,330100008#10805108,腰麻硬膜外联合套件(AS-S腰麻)44
10267||1,120300001#13,一次性鼻肠管(螺旋型)
10268||1,120300001#3,一次性鼻导管(双鼻)
10269||1,CL02028,一次性鼻导管0.5
1026||1,XY00767,环孢素软胶囊(田可)[25mg*50粒]
10270||1,120300001#9,一次性鼻导管1.32
10271||1,1204#65,一次性采血器(50支/合)
10272||1,330100017#10,一次性插管(F18-F34)
10273||1,QX00000#594,一次性冲洗器25
10274||1,CL00205,一次性穿刺针7800
10275||1,CL03242,一次性穿刺针1700
10276||1,310100019#2,一次性穿刺针1980
10277||1,CL01909,一次性穿刺针(导入器)(755108025)
10278||1,32#165,一次性穿刺针(18g*7)
10279||1,CL02415,一次性穿刺针(dbbn-13-10-ni-2-)
1027||1,XY00998,两性霉素B粉针[25mg]
10280||1,CL00293,一次性敷贴39.5
10281||1,1206#29,一次性敷贴(9*14)
10282||1,CL01546,一次性付贴8.25
10283||1,CL01547,一次性付贴7.15
10284||1,1204#55,一次性敷贴(9*20)
10285||1,1204#56,一次性敷贴(9*6)
10286||1,CL01673,一次性敷贴2.95
10287||1,CL01674,一次性敷贴5.83
10288||1,CL01675,一次性敷贴5.95
10289||1,CL01676,一次性敷贴11.8
1028||1,XY00030,头孢曲松钠粉针(罗氏芬)[1g]
10290||1,CL01892,一次性付贴2.75
10291||1,1206#34,一次性敷贴7
10292||1,1206#31,一次性敷贴(25ML)
10293||1,1206#32,一次性敷贴(10CM*4CM)
10294||1,1206#35,一次性敷贴165
10295||1,1206#36,一次性敷贴60.5
10296||1,1206#37,一次性敷贴(60*40)
10297||1,1204#45,一次性敷贴9
10298||1,1204#46,一次性敷贴(45*45)
10299||1,1204#47,一次性敷贴6.6
1029||1,XY00433,多巴丝肼片(美多芭)[0.25g*40片]
102||1,XY00625,复方苦参注射液[5ml]11111
10300||1,1204#48,一次性敷贴(45*90)
10301||1,CL02827,一次性付贴88
10302||1,1204#63,一次性敷贴4.6
10303||1,1204#64,一次性敷贴(9*10)
10304||1,CL02855,一次性付贴(银离子藻酸盐抗菌付料)405
10305||1,1204#54,一次性敷贴(4630)
10306||1,120100001#1,一次性腹带18.7
10307||1,CL02841,一次性腹腔引流管9
10308||1,CL03216,一次性过滤器120
10309||1,311201048#2080599,一次性节育环(IN)
1030||1,XY00892,聚乙二醇干扰素a-2a(派罗欣)注射液[0.5ml:180ug]
10310||1,CL02620,一次性静脉留置针16
10311||1,1204#61,一次性静脉留置针17.6
10312||1,110900001#208052,一次性脸盆(蓝)
10313||1,120300001#10,一次性面罩(氧气雾化吸乳器)38.5
10314||1,CL02527,一次性面罩(成人)5.5
10315||1,120300001#11,一次性面罩(麻醉面罩)(2#)
10316||1,121600001#3,一次性尿袋44
10317||1,CL00149,一次性气管套管(7.0#)
10318||1,120100010#6,一次性气管套管180
10319||1,CL02000,一次性气管套管49
1031||1,XY00900,(高危C)卡培他滨片(希罗达)[0.5g*12片]
10320||1,120100010#5,一次性气管套管20
10321||1,120100010#8,一次性气管套管42
10322||1,CL03386,一次性气管套管780
10323||1,1204#41,一次性输液器39
10324||1,1204#42,一次性输液器(全螺帽单头)
10325||1,1204#44,一次性输液器(避光)17.6
10326||1,CL02108,一次性输液器16.5
10327||1,1204#58,一次性输液器36
10328||1,1204#62,一次性输液器28
10329||1,CL00319,一次性钛夹5500
1032||1,XY00990,利妥昔单抗注射液(美罗华)[100mg:10ml]
10330||1,CL01288,一次性钛夹6700
10331||1,CL02754,一次性钛夹(HX-610-135L)
10332||1,120100011#12,一次性痰液收集器9.9
10333||1,CL01797,一次性胃管(包)16
10334||1,120700001,一次性雾化器31.9
10335||1,120700001#1,一次性雾化器60.5
10336||1,120100011#9,一次性吸痰管2.2
10337||1,120100011#11,一次性吸痰管0.85
10338||1,1206#38,一次性引流管9
10339||1,1206#30,一次性引流管4.3
1033||1,XY00991,利妥昔单抗注射液(美罗华)[500mg:50ml]
10340||1,CL02101,一次性引流管7
10341||1,120800001#5080535,一次性营养管(营养代)(3000ML)
10342||1,120800001#6080536,一次性营养管(营养代)16
10343||1,1204#53,一次性中心静脉导管(16#)
10344||1,1204#57,一次性中心静脉导管(16G单腔)
10345||1,1204#40,一次性中心静脉导管242
10346||1,CL03104,一次性中心静脉导管2400
10347||1,CL03129,一次性中心静脉导管327.5
10348||1,1204#51,一次性注射器(胰导素注射器)1.98
10349||1,331503012#0805146,异体骨(人工骨)(4克)
1034||1,XY00776,环磷腺苷粉针[40mg]
10350||1,CL02126,异体骨(人工骨)(3g)
10351||1,331503012#1,异体骨(人工骨)(2g)
10352||1,CL03225,异体骨(人工骨)(2)
10353||1,331503012#2,异体骨(人工骨)(141207)
10354||1,CL00627,硬膜修补材料1980
10355||1,CL01473,硬膜修补材料4860
10356||1,CL02755,硬膜修补材料7800
10357||1,CL01474,硬膜修补材料*8200
10358||1,330201006#10805115,硬膜修补材料(6*6)
10359||1,330201006#20805116,硬膜修补材料(6*7)
1035||1,XY01698,(高危A)硝普钠粉针[50mg]1111111
10360||1,CL00789,镇痛装置280
10361||1,CL00137,支架8000
10362||1,CL00146,支架13000
10363||1,CL00155,支架12500
10364||1,CL00191,支架22000
10365||1,CL00206,支架18500
10366||1,CL00222,支架84600
10367||1,CL00228,支架4320
10368||1,CL00233,支架5800
10369||1,CL00306,支架19300
1036||1,XY00784,黄体酮胶囊[50mg*20粒]
10370||1,CL00307,支架18700
10371||1,CL00466,支架(2.75*18)
10372||1,CL01496,支架(2.5*15)
10373||1,32#142,支架（颅内）
10374||1,32#144,支架(SEPX-90-40-135)
10375||1,CL03047,支架65000
10376||1,32#196,支架(7*20)
10377||1,CL02004,支架9744
10378||1,310901006#10,支架(肠道)(20*100)
10379||1,310905022,支架(胆道)8000
1037||1,XY00785,黄体酮注射液[10mg*10支]
10380||1,310905022#6,支架(胆道)(韩国进口)(10*80)
10381||1,310905022#1,支架(胆道支架)(10*80)
10382||1,CL02373,支架(胆道支架)8000
10383||1,310905022#2,支架(胆道支架)(OA-8.5)
10384||1,310905022#3,支架(胆道支架)(TTSO-8.5-15)
10385||1,CL01786,支架(美国)(5*80)
10386||1,32#73,支架(美国进口)(2.75*15-2.75*33)
10387||1,CL02800,支架(气道)(20*50)
10388||1,CL00361,支架(食道)3240
10389||1,310901006#4,支架(食道)(18*80)
1038||1,XY00839,(高危C)甲羟孕酮片[2mg*100片]
10390||1,310901006#24,支架(食道)8000
10391||1,CL03256,支架(食道韩国)(18*120)
10392||1,CL03311,支架(食道)(CZESIII15-140)
10393||1,310901006,支架(食道支架)(18*140)
10394||1,310901006#5,支架(食道支架)(20*65)
10395||1,CL01234,支架(外周血管)54000
10396||1,32#169,支架(外周血管)(SAB-6-20)
10397||1,32#194,支架(外周血管)(8*30)
10398||1,32#135,支架(外周血管支架)9280
10399||1,32#171,支架(外周血管支架)20000
1039||1,XY01245,泼尼松龙注射液[0.125g]
103||1,XY00629,复方南星止痛膏[2贴*2袋]11111
10400||1,32#191,支架(外周血管支架)(SEPX-8-40-135)
10401||1,CL02845,止血海棉(pvf)
10402||1,CL00535,中心静脉套件134.2
10403||1,CL02852,中心静脉套件2520
10404||1,CL02625,种植体1656
10405||1,CL02626,种植体1242
10407||1,CL03131,种植体1380
10408||1,330406018#2,重水650
10409||1,CL03125,转流管920
1040||1,XY01246,泼尼松片[5mg*100片]
10410||1,YK0001,双斜视矫正术
10411||1,YK0002,双斜视矫正术（使用显微镜）
10412||1,YK0003,单小梁切开+双虹膜周边切除手术
10413||1,YK0004,双小梁切开+双虹膜周边切除手术
10414||1,YK0005,单小梁切开+单虹膜周边切除手术
10415||1,YK001,角膜内皮细胞计数（HRT）
10416||1,YK0006,白内障超声乳化摘除术+人工晶体植入术(眼科)
10417||1,YK0007,鼻腔泪囊吻合手术(眼科)
10418||1,YK0008,翼状胬肉切除手术（单眼）
10419||1,YK002,眼底检查
1041||1,XY01322,曲安奈德注射液1[5ml:50mg]
10420||1,YK003,散瞳+眼底检查
10421||1,YK004,术前常规准备（单眼）
10422||1,YK005,术前常规准备（双眼）
10423||1,YK006,眼压+验光
10424||1,YK0009,眼科A超+黑白热敏打印照片
10425||1,YK0010,眼科B超+黑白热敏打印照片
10426||1,YK0011,普通视力+散瞳+验光+试镜
10427||1,YK0012,同视机检查
10428||1,CL03426,输液贴
10429||1,YL00056,取暖(空调)费
1042||1,XY00798,肌苷片[0.2g*100片]作废
10430||1,SXK00001,ABO血型鉴定
10431||1,SXK00002,Rh血型鉴定
10432||1,SXK00003,Rh血型其他抗原鉴定
10433||1,SXK00004,血型单特异性抗体鉴定
10434||1,SXK00005,血型抗体特异性鉴定（吸收试验）
10435||1,SXK00006,血型抗体特异性鉴定（放散试验）
10436||1,SXK00007,血型抗体效价测定
10437||1,SXK00008,盐水介质交叉配血
10438||1,SXK00009,特殊介质交叉配血（微注凝胶）
10439||1,SXK00010,红细胞系统血型抗体致新生儿溶血病检测
1043||1,XY01294,羟氯喹片(纷乐)[0.1g*14片]
10440||1,SXK00011,全血RH(阳)400ml
10441||1,SXK00012,全血RH(阳)200ml
10442||1,SXK00013,全血RH(阴)400ml
10443||1,SXK00014,全血RH(阴)200ml
10444||1,SXK00015,去白红细胞悬液RH(阳)2U
10445||1,SXK00016,去白红细胞悬液RH(阳)1U
10446||1,SXK00017,去白红细胞悬液RH(阴)2U
10447||1,SXK00018,去白红细胞悬液RH(阴)1U
10448||1,SXK00019,新鲜冰冻血浆200ml
10449||1,SXK00020,新鲜冰冻血浆150ml
1044||1,XY01425,生长抑素粉针(思他宁)[3000ug]
10450||1,SXK00021,新鲜冰冻血浆100ml
10451||1,SXK00022,新鲜冰冻血浆50ml
10452||1,SXK00023,洗涤红细胞2U
10453||1,SXK00024,洗涤红细胞1U
10454||1,SXK00025,新鲜机采血小板1个治疗量
10455||1,SXK00026,冷沉淀1U
10456||1,SXK00027,普通冰冻血浆200ml
10457||1,SXK00028,普通冰冻血浆150ml
10458||1,SXK00029,普通冰冻血浆100ml
10459||1,SXK00030,普通冰冻血浆50ml
1045||1,XY00038,(特抗)万古霉素粉针(稳可信)[500mg]
10460||1,JY000192,抗核抗体
10461||1,JY000193,抗双链DNA抗体
10462||1,JY000194,血清5'核苷酸酶
10463||1,JY000195,ABO红细胞定型
10464||1,JY000196,纤溶组合
10465||1,JY000197,肺炎支原体培养及药敏试验
10466||1,JY000198,结核菌培养及药敏试验
10467||1,JY000199,特殊染色
10468||1,JY000200,鳞状细胞癌相关抗原测定（SCC）
10469||1,JY000201,体检肝功五项
1046||1,XY00807,己烯雌酚片[0.5mg*100片]
10470||1,JY000202,β2微球蛋白测定(尿液)
10471||1,JC00412,浅表组织器官B超(眼科)
10472||1,YKYG001,配镜
10473||1,YKYG002,VEP光盘训练
10474||1,YKYG003,复查视力
10475||1,YKYG004,半年复查
10476||1,YKYG005,观察视力眼位变化
10477||1,YK0013,光学相干断层成相(弱视训练)
10478||1,YL10003,免费号
10479||1,XY015450,卵磷脂络合碘片[1.5mg*60片]
1047||1,XY00816,(高危C)甲地孕酮分散片(佳迪)[0.16g*10片]
10480||1,YKSS0001,眼科手术
10481||1,XY02005,曲安奈德新霉素贴膏(作废)
10482||1,YK0014,标准化切削术（双眼）
10483||1,YK0015,标准化切削术（单眼）
10484||1,YK0016,虹膜识别术（双眼）
10485||1,YK0017,虹膜识别术（单眼）
10486||1,YK0018,个体化切削术(双眼）
10487||1,YK0019,个体化切削术（单眼）
10488||1,YK0020,虹膜识别联合个体化切削术（双眼）
10489||1,YK0021,虹膜识别联合个体化切削术（单眼）
1048||1,XY00817,(高危C)甲地孕酮胶囊[0.16g*8片]
10490||1,YK0022,配镜OD
10491||1,YK0023,配镜OS
10492||1,YK0024,散瞳验光OD
10493||1,YK0025,散瞳验光OS
10494||1,YK0026,配镜OU
10495||1,YK0027,散瞳验光OU
10496||1,CT0034,头部螺旋CT平扫+三维重建
10497||1,CT0035,头部螺旋CT平扫后增强
10498||1,CT0036,头部螺旋CT平扫+增强
10499||1,CT0037,眼眶螺旋CT平扫
1049||1,XY00836,(高危C)甲羟孕酮分散片(倍恩)[0.25g*15片]
104||1,XY01536,通塞脉片[0.35g*60片]
10500||1,CT0038,眼眶螺旋CT平扫后增强
10501||1,CT0039,眼眶螺旋CT平扫+增强
10502||1,CT0040,鼻窦螺旋CT平扫后增强
10503||1,CT0041,鼻窦螺旋CT平扫+增强
10504||1,CT0042,胸部螺旋CT平扫+重建
10505||1,CT0043,胸部螺旋CT平扫后增强
10506||1,CT0044,胸部螺旋CT平扫+增强
10507||1,CT0045,上腹部螺旋CT平扫+重建
10508||1,CT0046,上腹部螺旋CT平扫后增强
10509||1,CT0047,上腹部螺旋CT平扫+增强
1050||1,XY00819,甲钴胺分散片[0.5mg*30片]
10510||1,CT0048,下腹部螺旋CT平扫+重建
10511||1,CT0049,下腹部螺旋CT平扫后增强
10512||1,CT0050,下腹部螺旋CT平扫+增强
10513||1,CT0051,腹部螺旋CT平扫+重建
10514||1,CT0052,腹部螺旋CT平扫后增强
10515||1,CT0053,腹部螺旋CT平扫+增强
10516||1,CT0054,颈部螺旋CT平扫+重建
10517||1,CT0055,颈部螺旋CT平扫后增强
10518||1,CT0056,颈部螺旋CT平扫+增强
10519||1,CT0057,盆腔螺旋CT平扫+重建
1051||1,XY00825,甲钴胺粉针(怡维康)[1ml:0.5mg]
10520||1,CT0058,盆腔螺旋CT平扫后增强
10521||1,CT0059,盆腔螺旋CT平扫+增强
10522||1,CT0060,肾上腺螺旋CT平扫+重建
10523||1,CT0061,肾上腺螺旋CT平扫后增强
10524||1,CT0062,肾上腺螺旋CT平扫+增强
10525||1,CT0063,头颅CTA
10526||1,CT0064,下肢CTA
10527||1,CT0065,颈部CTA
10528||1,CT0066,头颈部CTA
10529||1,CT0067,泌尿系CTU
1052||1,XY00236,苯唑西林钠粉针[1g]
10530||1,CT0068,冠状动脉CTA
10531||1,CT0069,上腹部CTA
10532||1,CT0070,下腹部CTA
10533||1,CT0071,全腹部CTA
10534||1,CT0072,颌面部螺旋CT平扫+重建
10535||1,CT0073,颈椎螺旋CT平扫+重建
10536||1,CT0074,腰椎螺旋CT平扫+重建
